Protein,Gene_x,Protein_Description,chart,b_LnLM1,t12_LnLM1,b_LnLM2,t12_LnLM2,b_CFit,t12_CFit
P53396,ACLY,ATP-citrate synthase,1,0.17404173853465132,3.9826491414985563,0.17404173853465132,3.9826491414985563,0.18491774022917853,3.748408236553673
P21399,ACO1,Cytoplasmic aconitate hydratase,1,0.09767588470801757,7.096400330869483,0.09767588470801757,7.096400330869483,0.09803387113168073,7.070486685452811
Q99798,ACO2,"Aconitate hydratase, mitochondrial",1,0.09928889277455652,6.981115018915481,0.09928889277455652,6.981115018915481,0.10339003391156373,6.704197245479573
Q86TX2,ACOT1,Acyl-coenzyme A thioesterase 1,1,0.11670505951203504,5.939307031401372,0.11670505951203504,5.939307031401372,0.11251907970630294,6.160263507035398
Q9NPJ3,ACOT13,Acyl-coenzyme A thioesterase 13,1,0.07093614381228637,9.771424598356726,0.07093614381228637,9.771424598356726,0.0711992244347508,9.735319254708555
O00154,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,1,0.15734776073843365,4.4051925321784235,0.15734776073843365,4.4051925321784235,0.15712132234938966,4.411541159376182
O14734,ACOT8,Acyl-coenzyme A thioesterase 8,1,0.17503744441375857,3.9599937195236006,0.17503744441375857,3.9599937195236006,0.17407642066252377,3.981855658117689
Q9Y305,ACOT9,"Acyl-coenzyme A thioesterase 9, mitochondrial",1,0.11109167321556923,6.2394161551146965,0.11109167321556922,6.239416155114697,0.11624498051228027,5.962813856609665
Q15067,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,1,0.18282286268170134,3.791359408733961,0.18282286268170134,3.791359408733961,0.18569189024715468,3.7327811119665535
Q99424,ACOX2,Peroxisomal acyl-coenzyme A oxidase 2,0,,,,,,
O15254,ACOX3,Peroxisomal acyl-coenzyme A oxidase 3,1,0.15190308273768507,4.563088306488891,0.15190308273768507,4.563088306488891,0.1594205618648878,4.347915804909794
P24666,ACP1,Low molecular weight phosphotyrosine protein phosphatase,1,0.08687590032962147,7.97858989581726,0.08687590032962147,7.97858989581726,0.10000761691315074,6.930943881623463
P11117,ACP2,Lysosomal acid phosphatase,1,0.14317293502017378,4.841328289192908,0.14317293502017378,4.841328289192908,0.14377415761325452,4.8210832326660364
Q9NPH0,ACP6,Lysophosphatidic acid phosphatase type 6,0,,,,,,
Q96CM8,ACSF2,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial",0,,,,,,
Q4G176,ACSF3,"Malonate--CoA ligase ACSF3, mitochondrial",1,0.10349151738792026,6.69762312945709,0.10349151738792026,6.69762312945709,0.10640436169709977,6.514274128471541
P33121,ACSL1,Long-chain-fatty-acid--CoA ligase 1,1,0.24932728295706577,2.780069522833991,0.24932728295706577,2.780069522833991,0.2642861353725104,2.622714882802901
O95573,ACSL3,Fatty acid CoA ligase Acsl3,1,0.2157454507171401,3.212800910776644,0.2157454507171401,3.212800910776644,0.24030824862690583,2.8844086065314443
O60488,ACSL4,Long-chain-fatty-acid--CoA ligase 4,1,0.2803496232519636,2.4724384235643533,0.2803496232519636,2.4724384235643533,0.3705264832090315,1.8707088749953353
Q9UKU0,ACSL6,Long-chain-fatty-acid--CoA ligase 6,1,0.23174199071042478,2.9910297155687826,0.23174199071042478,2.9910297155687826,0.23620075026808063,2.9345680730194315
Q9NUB1,ACSS1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",1,0.09861664667160158,7.028703610944716,0.09861664667160158,7.028703610944716,0.08073859393951155,8.585078668563925
Q9NR19,ACSS2,"Acetyl-coenzyme A synthetase, cytoplasmic",1,0.1756027888547102,3.947244716787725,0.1756027888547102,3.947244716787725,0.17393526211092986,3.9850871648894297
Q9H6R3,ACSS3,"Acyl-CoA synthetase short-chain family member 3, mitochondrial",0,,,,,,
P68133,ACTA1,"Actin, alpha skeletal muscle",1,0.18629247911843008,3.7207469879623907,0.1862924791184301,3.7207469879623902,0.21319221208118727,3.25127814845311
P62736,ACTA2,"Actin, aortic smooth muscle",1,0.12780178164087402,5.423611249080275,0.12780178164087402,5.423611249080275,0.3125390545093537,2.2177938102746793
P60709,ACTB,"Actin, cytoplasmic 1",1,0.1001517818779493,6.920967031866234,0.1001517818779493,6.920967031866234,0.10100940059916758,6.862204670538928
Q562R1,ACTBL2,Beta-actin-like protein 2,1,0.10912071385298248,6.352113692124643,0.10912071385298248,6.352113692124643,0.1103454757938556,6.2816094232523305
P63261,ACTG1,"Actin, cytoplasmic 2",1,0.2497212372956135,2.775683750675221,0.24972123729561352,2.7756837506752206,0.4100880517632322,1.6902398828243346
P63267,ACTG2,"Actin, gamma-enteric smooth muscle",1,0.04402943256892779,15.742814297568517,0.04402943256892779,15.742814297568517,0.04285767659785935,16.17323279243202
O96019,ACTL6A,Actin-like protein 6A,1,0.10546518241938915,6.57228447018278,0.10546518241938915,6.57228447018278,0.11019415198820545,6.290235625517911
O94805,ACTL6B,Actin-like protein 6B,1,0.23536721808420413,2.944960586278279,0.23536721808420413,2.944960586278279,0.26028006959528255,2.663082047110795
P12814,ACTN1,Alpha-actinin-1,1,0.148454245944922,4.669096368029176,0.148454245944922,4.669096368029176,0.14413511494254969,4.809009801922484
P35609,ACTN2,Alpha-actinin-2,1,0.30806579950628654,2.249997181351514,0.30806579950628654,2.249997181351514,0.3150828883035537,2.1998883668101996
Q08043,ACTN3,Alpha-actinin-3,0,,,,,,
O43707,ACTN4,Alpha-actinin-4,1,0.12872066868555632,5.384894187064792,0.12872066868555632,5.384894187064792,0.130202014588974,5.3236286915229005
Q9NZ32,ACTR10,Actin-related protein 10,1,0.15645161374513702,4.430425253964441,0.15645161374513702,4.430425253964441,0.17170085310527256,4.036946631447227
P61163,ACTR1A,Alpha-centractin,1,0.1284630547871306,5.395692806064149,0.1284630547871306,5.395692806064149,0.12799157017859394,5.415569006558459
P42025,ACTR1B,Beta-centractin,1,0.14400297754724276,4.813422558103328,0.14400297754724276,4.813422558103328,0.1470928422009597,4.712310743258063
P61160,ACTR2,Actin-related protein 2,1,0.1424450578320936,4.866066897013647,0.1424450578320936,4.866066897013647,0.14612020138731058,4.74367797182724
P61158,ACTR3,Actin-related protein 3,1,0.1202308514109282,5.765135756968804,0.12023085141092818,5.765135756968805,0.12106738283259882,5.725300773358315
Q9P1U1,ACTR3B,Actin-related protein 3B,1,0.09319683102965402,7.437454395197138,0.09319683102965402,7.437454395197138,0.09455579509369799,7.330562657456228
Q9H9F9,ACTR5,Actin-related protein 5,1,0.18330048722463943,3.781480295305902,0.18330048722463943,3.781480295305902,0.19678260191209865,3.5224007296619093
Q9GZN1,ACTR6,Actin-related protein 6,1,0.25922744276114834,2.6738958390243033,0.25922744276114834,2.6738958390243033,0.3475340220254338,1.9944728764115596
Q9H981,ACTR8,Actin-related protein 8,1,0.18333871993466389,3.7806917208048634,0.18333871993466389,3.7806917208048634,0.22525397376973796,3.077180699455732
Q04771,ACVR1,Activin receptor type-1,1,0.37593640145617213,1.8437884117501577,0.37593640145617213,1.8437884117501577,0.5704831161441811,1.2150178698448328
P36896,ACVR1B,Activin receptor type-1B,1,0.2893581557478109,2.3954644677928325,0.2893581557478108,2.395464467792833,0.9107019903130367,0.7611130621573463
P27037,ACVR2A,Activin receptor type-2A,1,0.34556864057015113,2.00581620894861,0.34556864057015113,2.00581620894861,0.6326274303744953,1.0956641259605582
Q13705,ACVR2B,Activin receptor type-2B,1,0.3196174157977866,2.1686777575302125,0.3196174157977866,2.1686777575302125,0.8965810951695743,0.7731003746279608
Q03154,ACY1,Aminoacylase-1,1,0.05447697795754316,12.723671659983639,0.05447697795754316,12.723671659983639,0.0572682011069223,12.10352634031246
P07311,ACYP1,Acylphosphatase-1,1,0.1750572397970651,3.9595459254554415,0.1750572397970651,3.9595459254554415,0.17616833656382913,3.934573000346205
P14621,ACYP2,Acylphosphatase-2,1,0.16659896490542117,4.160573152140816,0.16659896490542117,4.160573152140816,0.171866770340371,4.033049432343508
P00813,ADA,Adenosine deaminase,1,0.08109604557744328,8.547237730574905,0.08109604557744327,8.547237730574906,0.09009762837936902,7.693289968092716
Q9NZK5,ADA2,Adenosine deaminase 2,0,,,,,,
Q6DHV7,ADAL,Adenosine deaminase-like protein,1,0.1753178381224624,3.953660323348104,0.1753178381224624,3.953660323348104,0.18450796571705166,3.7567330920709767
O14672,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,1,0.1641066182800501,4.223761282906217,0.16410661828005013,4.223761282906216,0.20915016270838413,3.3141125571410295
O75078,ADAM11,Disintegrin and metalloproteinase domain-containing protein 11,1,0.28062663009875477,2.469997876951383,0.28062663009875477,2.469997876951383,0.32626283444104454,2.124505482665377
Q13444,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,0,,,,,,
P78536,ADAM17,Disintegrin and metalloproteinase domain-containing protein 17,1,0.253662866917661,2.732552813041181,0.253662866917661,2.732552813041181,0.33392835869109455,2.075736194664292
Q9H013,ADAM19,Disintegrin and metalloproteinase domain-containing protein 19,1,0.3203329233078146,2.1638337183776946,0.3203329233078146,2.1638337183776946,0.6297964142849337,1.1005892774841208
Q9P0K1,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,1,0.300967531770405,2.303062979858961,0.300967531770405,2.303062979858961,0.3898992116531068,1.777759892411986
O75077,ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,1,0.3715948449968919,1.8653304530253723,0.3715948449968919,1.8653304530253723,0.46379048619210506,1.494526518322843
Q13443,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,1,0.139596161286871,4.965374220681638,0.139596161286871,4.965374220681638,0.15468442594217613,4.48104052064722
Q9UHI8,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,1,0.1488450272855954,4.656838009307316,0.1488450272855954,4.656838009307316,0.14779776870689443,4.689835216217385
Q9H324,ADAMTS10,A disintegrin and metalloproteinase with thrombospondin motifs 10,1,0.14859913032753955,4.664543991826349,0.14859913032753955,4.664543991826349,0.16107149904266901,4.303350901181627
P58397,ADAMTS12,A disintegrin and metalloproteinase with thrombospondin motifs 12,0,,,,,,
Q8TE58,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,1,0.2813481604676085,2.463663453167475,0.2813481604676085,2.463663453167475,0.2871043269538793,2.4142693630364307
O75173,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,0,,,,,,
Q9UNA0,ADAMTS5,A disintegrin and metalloproteinase with thrombospondin motifs 5,1,0.3004234060077283,2.3072342790165763,0.3004234060077284,2.307234279016576,0.3520202021772503,1.969055117498426
Q9UKP4,ADAMTS7,A disintegrin and metalloproteinase with thrombospondin motifs 7,1,0.11902689569464214,5.823450040553704,0.11902689569464212,5.8234500405537055,0.13481494100202696,5.141471526880124
Q8N6G6,ADAMTSL1,ADAMTS-like protein 1,1,0.1543578954419208,4.4905197662580925,0.1543578954419208,4.4905197662580925,0.1512826163774212,4.5818032313155905
O75689,ADAP1,Arf-GAP with dual PH domain-containing protein 1,1,0.20739735496829884,3.3421216035561034,0.2073973549682988,3.342121603556104,0.22683866384059007,3.0556835806749927
P55265,ADAR,Double-stranded RNA-specific adenosine deaminase,1,0.23202557829807016,2.9873740026605957,0.23202557829807016,2.9873740026605957,0.24141321720111295,2.8712064260446373
P78563,ADARB1,Double-stranded RNA-specific editase 1,1,0.2184896496532902,3.1724485881132782,0.2184896496532902,3.1724485881132782,0.20910042731462172,3.3149008323976568
Q9BUB4,ADAT1,tRNA-specific adenosine deaminase 1,1,0.2665768379627065,2.600177816862375,0.2665768379627065,2.600177816862375,0.3252906526725686,2.1308548981198485
Q7Z6V5,ADAT2,tRNA-specific adenosine deaminase 2,1,0.29476491346662587,2.3515253983524924,0.2947649134666259,2.351525398352492,0.31890925828753597,2.173493439111723
Q96EY9,ADAT3,Probable inactive tRNA-specific adenosine deaminase-like protein 3,1,0.14425612125113826,4.804975862017196,0.14425612125113824,4.804975862017197,0.1541840486096734,4.49558295303745
Q86TW2,ADCK1,AarF domain-containing protein kinase 1,1,0.10899041470859931,6.359707708362873,0.1089904147085993,6.3597077083628735,0.11041597609804188,6.277598632506566
Q3MIX3,ADCK5,Uncharacterized aarF domain-containing protein kinase 5,1,0.17851582133425833,3.8828333274846036,0.17851582133425833,3.8828333274846036,0.15417554614216358,4.495830875285513
Q08462,ADCY2,Adenylate cyclase type 2,1,0.4930515026353469,1.4058311897541989,0.4930515026353469,1.4058311897541989,0.8604663175778561,0.8055483014269509
O60266,ADCY3,Adenylate cyclase type 3,1,0.267014308560927,2.5959177404973555,0.267014308560927,2.5959177404973555,0.3422656502255993,2.0251730785811186
O95622,ADCY5,Adenylate cyclase type 5,1,0.16172514095932244,4.285958116643643,0.16172514095932242,4.285958116643644,0.1675732458070513,4.1363833302963835
