,gene,UniProtID,pDesc,pLength,pMass,subLoc,abundanceLevel,avgCopyN
17,ABCA1,O95477,Phospholipid-transporting ATPase ABCA1,2261,254302,Cell membrane; Endosome,Low  ,
18,ABCA2,Q9BZC7,ATP-binding cassette sub-family A member 2,2435,269833,Endosome membrane; Lysosome membrane,Medium,
19,ABCA3,Q99758,Phospholipid-transporting ATPase ABCA3,1704,191362,"Endosome, multivesicular body membrane; Cytoplasmic vesicle membrane; Late endosome membrane; Lysosome membrane",Low,2193.7743500679485
20,ABCA5,Q8WWZ7,Cholesterol transporter ABCA5,1642,186508,Golgi apparatus membrane; Lysosome membrane; Late endosome membrane; Cell membrane,Very Low,
21,ABCA6,Q8N139,ATP-binding cassette sub-family A member 6,1617,184286,Golgi apparatus membrane,Low  ,
22,ABCB1,P08183,ATP-dependent translocase ABCB1,1280,141479,Cell membrane; Apical cell membrane; Cytoplasm,Low  ,
23,ABCB10,Q9NRK6,"ATP-binding cassette sub-family B member 10, mitochondrial",738,79148,Mitochondrion inner membrane,Very Low,641.6284711797864
24,ABCB6,Q9NP58,ATP-binding cassette sub-family B member 6,842,93886,"Cell membrane; Mitochondrion outer membrane; Endoplasmic reticulum membrane; Golgi apparatus membrane; Endosome membrane; Lysosome membrane; Late endosome membrane; Early endosome membrane; Secreted, extracellular exosome; Mitochondrion; Endosome, multivesicular body membrane; Melanosome membrane",Very Low,602.7719019186019
25,ABCB7,O75027,"Iron-sulfur clusters transporter ABCB7, mitochondrial",752,82641,Mitochondrion inner membrane,Low,4263.376960518479
26,ABCB8,Q9NUT2,Mitochondrial potassium channel ATP-binding subunit,735,79989,Mitochondrion inner membrane,Low  ,1212.786041727275
27,ABCB9,Q9NP78,ABC-type oligopeptide transporter ABCB9,766,84475,Lysosome membrane,Low  ,
28,ABCC1,P33527,Multidrug resistance-associated protein 1,1531,171591,Cell membrane,Low,1712.977056548215
29,ABCC10,Q5T3U5,ATP-binding cassette sub-family C member 10,1492,161629,Cell membrane; Basolateral cell membrane; Basal cell membrane,Low  ,
30,ABCC4,O15439,ATP-binding cassette sub-family C member 4,1325,149527,Basolateral cell membrane; Apical cell membrane,Very Low,244.3205326247494
31,ABCC5,O15440,ATP-binding cassette sub-family C member 5,1437,160660,Basolateral cell membrane; Golgi apparatus lumen; Endosome membrane; Cytoplasmic granule; Apical cell membrane,Medium,
32,ABCD1,P33897,ATP-binding cassette sub-family D member 1,745,82937,Peroxisome membrane; Mitochondrion membrane,Low,4603.552595257195
33,ABCD3,P28288,ATP-binding cassette sub-family D member 3,659,75476,Peroxisome membrane,Medium,9478.610163499627
34,ABCD4,O14678,Lysosomal cobalamin transporter ABCD4,606,68597,Endoplasmic reticulum membrane; Lysosome membrane,Medium,
35,ABCE1,P61221,ATP-binding cassette sub-family E member 1,599,67314,Cytoplasm; Mitochondrion,High,72990.96082972917
36,ABCF1,Q8NE71,ATP-binding cassette sub-family F member 1,845,95926,"Cytoplasm; Nucleus, nucleoplasm; Nucleus envelope",Medium,42670.56027662201
37,ABCF2,Q9UG63,ATP-binding cassette sub-family F member 2,623,71290,"Cytoplasm; Nucleus, nucleoplasm; Nucleus envelope",Low,6085.017860705895
38,ABCF3,Q9NUQ8,ATP-binding cassette sub-family F member 3,709,79745,"Cytoplasm; Nucleus, nucleoplasm; Nucleus envelope",Medium,9435.25155502274
39,ABCG1,P45844,ATP-binding cassette sub-family G member 1,678,75592,Endoplasmic reticulum membrane; Golgi apparatus membrane; Cell membrane,Low  ,
40,ABCG2,Q9UNQ0,Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein) (CDw338) (Mitoxantrone resistance-associated protein) (Placenta-specific ATP-binding cassette transporter) (Urate exporter) (CD antigen CD338),655,72314,Cell membrane; Apical cell membrane; Mitochondrion membrane,Low  ,
41,ABHD10,Q9NUJ1,"Palmitoyl-protein thioesterase ABHD10, mitochondrial",306,33933,Mitochondrion,Medium,43158.5851204976
42,ABHD11,Q8NFV4,Protein ABHD11,315,34690,Mitochondrion,Low,3230.3636083518145
43,ABHD12,Q8N2K0,Lysophosphatidylserine lipase ABHD12,398,45097,Endoplasmic reticulum membrane,Medium,22980.48357532158
44,ABHD13,Q7L211,Protein ABHD13,337,38548,Membrane,Low,1083.3841680131284
45,ABHD14A,Q9BUJ0,Protein ABHD14A,271,29765,Cytoplasm; Membrane,Low  ,
46,ABHD14B,Q96IU4,Putative protein-lysine deacylase ABHD14B,210,22346,Cytoplasm; Nucleus,Medium,
47,ABHD16A,O95870,Phosphatidylserine lipase ABHD16A,558,63243,Membrane,Medium,18225.42520860195
48,ABHD17A,Q96GS6,Alpha/beta hydrolase domain-containing protein 17A,310,33990,"Cell membrane; Endosome membrane; Cell projection, dendritic spine; Postsynaptic density membrane",Medium,
49,ABHD17B,Q5VST6,Alpha/beta hydrolase domain-containing protein 17B,288,32215,"Cell membrane; Recycling endosome membrane; Cell projection, dendritic spine; Postsynaptic density membrane",Medium,
50,ABHD17C,Q6PCB6,Alpha/beta hydrolase domain-containing protein 17C,329,35831,"Recycling endosome membrane; Cell projection, dendritic spine; Postsynaptic density membrane",Medium,
51,ABHD2,P08910,Monoacylglycerol lipase ABHD2,425,48315,"Cell projection, cilium, flagellum membrane; Cell membrane",Low  ,
52,ABHD5,Q8WTS1,1-acylglycerol-3-phosphate O-acyltransferase ABHD5 (EC 2.3.1.51) (Abhydrolase domain-containing protein 5) (Lipid droplet-binding protein CGI-58),349,39096,"Cytoplasm; Lipid droplet; Cytoplasm, cytosol",Low  ,885.8465278499773
53,ABHD6,Q9BV23,Monoacylglycerol lipase ABHD6,337,38331,Late endosome membrane; Lysosome membrane; Mitochondrion membrane,Low,3890.693576896113
54,ABI1,Q8IZP0,Abl interactor 1,508,55081,"Cytoplasm; Nucleus; Cell projection, lamellipodium; Cell projection, filopodium; Cell projection, growth cone; Postsynaptic density; Cytoplasm, cytoskeleton",Medium,10536.254567159638
55,ABI2,Q9NYB9,Abl interactor 2,513,55663,"Cytoplasm; Nucleus.;[Isoform 1]: Cell projection, lamellipodium; Cell projection, filopodium; Cytoplasm, cytoskeleton; Cell junction, adherens junction",Medium,33944.81018248235
56,ABL1,P00519,Tyrosine-protein kise ABL1,1130,122873,"Cytoplasm, cytoskeleton; Nucleus; Mitochondrion",Very Low,511.39462136420883
57,ABL2,P42684,Tyrosine-protein kise ABL2,1182,128343,"Cytoplasm, cytoskeleton",Low,2149.5437354163
58,ABLIM1,O14639,Actin-binding LIM protein 1,778,87688,"Cytoplasm; Cytoplasm, cytoskeleton",Medium,20137.73730597535
59,ABLIM2,Q6H8Q1,Actin-binding LIM protein 2,611,67812,Cytoplasm,Low,4863.47700493431
60,ABLIM3,O94929,Actin-binding LIM protein 3,683,77802,Cytoplasm,Very Low,
61,ABR,Q12979,Active breakpoint cluster region-related protein,859,97598,"Cell projection, dendritic spine; Cell projection, axon; Synapse",Medium,9433.020375427284
62,ABRACL,Q9P1F3,Costars family protein ABRACL,81,9056,,Medium,37662.951133865085
63,ABRAXAS1,Q6UWZ7,BRCA1-A complex subunit Abraxas 1,409,46663,Nucleus,Low  ,
64,ABRAXAS2,Q15018,BRISC complex subunit Abraxas 2,415,46901,"Cytoplasm; Nucleus; Cytoplasm, cytoskeleton, spindle pole; Cytoplasm, cytoskeleton",Medium,16874.304440904092
65,ABT1,Q9ULW3,Activator of basal transcription 1,272,31079,"Nucleus; Nucleus, nucleolus",High,
66,ABTB2,Q8N961,Ankyrin repeat and BTB/POZ domain-containing protein 2,1025,113656,,Very Low,210.25189456946927
67,ABTB3,A6QL63,Ankyrin repeat and BTB/POZ domain-containing protein 3,1104,120884,Membrane,High,
68,ACAA1,P09110,"3-ketoacyl-CoA thiolase, peroxisomal",424,44292,Peroxisome,Medium,22838.595098638034
69,ACAA2,P42765,"3-ketoacyl-CoA thiolase, mitochondrial",397,41924,Mitochondrion,High,151079.69973332374
70,ACACA,Q13085,Acetyl-CoA carboxylase 1,2346,265554,"Cytoplasm, cytosol",Medium,20371.901984360567
71,ACACB,O00763,Acetyl-CoA carboxylase 2,2458,276541,Mitochondrion,High,
72,ACAD10,Q6JQN1,Acyl-CoA dehydrogese family member 10,1059,118834,,Medium,
73,ACAD11,Q709F0,Acyl-CoA dehydrogese family member 11,780,87264,Peroxisome; Mitochondrion membrane,Low  ,
74,ACAD8,Q9UKU7,"Isobutyryl-CoA dehydrogese, mitochondrial",415,45070,Mitochondrion,Medium,21199.51226956762
75,ACAD9,Q9H845,"Complex I assembly factor ACAD9, mitochondrial",621,68760,Mitochondrion inner membrane,Medium,18209.33808284093
76,ACADM,P11310,"Medium-chain specific acyl-CoA dehydrogese, mitochondrial",421,46588,Mitochondrion matrix,High,214708.88734711902
77,ACADS,P16219,"Short-chain specific acyl-CoA dehydrogese, mitochondrial",412,44297,Mitochondrion matrix,Low,5894.1761115509635
78,ACADSB,P45954,"Short/branched chain specific acyl-CoA dehydrogese, mitochondrial",432,47485,Mitochondrion matrix,Medium,31146.011445675398
79,ACADVL,P49748,"Very long-chain specific acyl-CoA dehydrogese, mitochondrial",655,70390,Mitochondrion inner membrane.;[Isoform 2]: Mitochondrion inner membrane,High,79026.63855154013
80,ACAP1,Q15027,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 (Centaurin-beta-1) (Cnt-b1)",740,81536,Recycling endosome membrane,Low  ,3570.2818567024337
81,ACAP2,Q15057,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",778,88029,Endosome membrane,Very Low,417.86942098810835
82,ACAP3,Q96P50,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3",834,92495,,Very Low,822.5986262427527
83,ACAT1,P24752,"Acetyl-CoA acetyltransferase, mitochondrial",427,45200,Mitochondrion,High,264500.73140914546
84,ACAT2,Q9BWD1,"Acetyl-CoA acetyltransferase, cytosolic",397,41351,"Cytoplasm, cytosol",High,356046.39917761984
85,ACBD3,Q9H3P7,Golgi resident protein GCP60,528,60593,Golgi apparatus membrane; Mitochondrion,Medium,29860.233276457468
86,ACBD5,Q5T8D3,Acyl-CoA-binding domain-containing protein 5,534,60092,Peroxisome membrane,Very Low,828.451030849134
87,ACBD6,Q9BR61,Acyl-CoA-binding domain-containing protein 6,282,31151,Cytoplasm,Low,2695.3742093938326
88,ACBD7,Q8N6N7,Acyl-CoA-binding domain-containing protein 7,88,9790,,Low,2882.663404750453
89,ACCS,Q96QU6,1-aminocyclopropane-1-carboxylate synthase-like protein 1 (ACC synthase-like protein 1),501,57324,,Very Low,
90,ACD,Q96AP0,Adrenocortical dysplasia protein homolog,458,48967,"Nucleus; Chromosome, telomere",Medium,
91,ACHE,P22303,Acetylcholinesterase,614,67796,Synapse; Secreted; Cell membrane,Low,1014.9976164182749
92,ACIN1,Q9UKV3,Apoptotic chromatin condensation inducer in the nucleus,1341,151862,"Nucleus; Nucleus speckle; Nucleus, nucleoplasm",Medium,25530.644943085135
93,ACLY,P53396,ATP-citrate synthase,1101,120839,"Cytoplasm, cytosol",High,291243.3101855123
94,ACO1,P21399,Cytoplasmic aconitate hydratase,889,98399,"Cytoplasm, cytosol",Medium,28406.401777587133
95,ACO2,Q99798,"Aconitate hydratase, mitochondrial",780,85425,Mitochondrion,High,473616.00003591186
96,ACOT1,Q86TX2,Acyl-coenzyme A thioesterase 1,421,46277,"Cytoplasm, cytosol",Medium,16276.767500005852
97,ACOT13,Q9NPJ3,Acyl-coenzyme A thioesterase 13,140,14960,"Cytoplasm, cytosol; Mitochondrion; Nucleus; Cytoplasm, cytoskeleton, spindle",High,64901.31825637672
98,ACOT2,P49753,"Acyl-coenzyme A thioesterase 2, mitochondrial",483,53218,Mitochondrion,Medium,
99,ACOT7,O00154,Cytosolic acyl coenzyme A thioester hydrolase,380,41796,"[Isoform 4]: Cytoplasm, cytosol.;[Isoform 6]: Cytoplasm, cytosol.;[Isoform 1]: Mitochondrion.;[Isoform 5]: Mitochondrion",High,704214.1800681851
100,ACOT8,O14734,Acyl-coenzyme A thioesterase 8,319,35914,Peroxisome matrix,Low,8799.50299262147
101,ACOT9,Q9Y305,"Acyl-coenzyme A thioesterase 9, mitochondrial",439,49902,Mitochondrion,Medium,30218.4935090648
102,ACOX1,Q15067,Peroxisomal acyl-coenzyme A oxidase 1,660,74424,Peroxisome,Medium,13556.16908685537
103,ACOX2,Q99424,Peroxisomal acyl-coenzyme A oxidase 2,681,76827,Peroxisome,Low  ,
104,ACOX3,O15254,Peroxisomal acyl-coenzyme A oxidase 3,700,77629,Peroxisome,Low,4506.025168139867
105,ACP1,P24666,Low molecular weight phosphotyrosine protein phosphatase,158,18042,Cytoplasm,High,600976.410317039
106,ACP2,P11117,Lysosomal acid phosphatase,423,48344,Lysosome membrane,Medium,27640.37517370912
107,ACP6,Q9NPH0,Lysophosphatidic acid phosphatase type 6,428,48886,Mitochondrion,Low  ,
108,ACSF2,Q96CM8,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial",615,68125,Mitochondrion,Low,1442.0134753851735
109,ACSF3,Q4G176,"Malote--CoA ligase ACSF3, mitochondrial",576,64130,Mitochondrion,Low,2335.468834482225
110,ACSL1,P33121,Long-chain-fatty-acid--CoA ligase 1,698,77943,Mitochondrion outer membrane; Peroxisome membrane; Microsome membrane; Endoplasmic reticulum membrane,Medium,6998.308310464122
111,ACSL3,O95573,Fatty acid CoA ligase Acsl3,720,80420,Mitochondrion outer membrane; Peroxisome membrane; Microsome membrane; Endoplasmic reticulum membrane,High,102375.02858947027
112,ACSL4,O60488,Long-chain-fatty-acid--CoA ligase 4,711,79188,Mitochondrion outer membrane; Peroxisome membrane; Microsome membrane; Endoplasmic reticulum membrane; Cell membrane,Medium,36648.68633701832
113,ACSL6,Q9UKU0,Long-chain-fatty-acid--CoA ligase 6,697,77752,Mitochondrion outer membrane; Peroxisome membrane; Microsome membrane; Endoplasmic reticulum membrane,Very Low,198.19676533839
114,ACSS1,Q9NUB1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",689,74857,Mitochondrion matrix,Low  ,
115,ACSS2,Q9NR19,"Acetyl-coenzyme A synthetase, cytoplasmic",701,78580,"Cytoplasm, cytosol",Medium,9800.999728075887
116,ACSS3,Q9H6R3,"Acyl-CoA synthetase short-chain family member 3, mitochondrial",686,74778,Mitochondrion matrix,Very Low,541.3551291389464
117,ACTA1,P68133,"Actin, alpha skeletal muscle",377,42051,"Cytoplasm, cytoskeleton",Low,2965.826164022844
118,ACTA2,P62736,"Actin, aortic smooth muscle",377,42009,"Cytoplasm, cytoskeleton",High,369733.6962676011
119,ACTB,P60709,"Actin, cytoplasmic 1",375,41737,"Cytoplasm, cytoskeleton; Nucleus",High,82603908.2708877
120,ACTBL2,Q562R1,Beta-actin-like protein 2,376,42003,"Cytoplasm, cytoskeleton",Medium,15334.131341956892
121,ACTC1,P68032,"Actin, alpha cardiac muscle 1",377,42019,"Cytoplasm, cytoskeleton",High,
122,ACTG1,P63261,"Actin, cytoplasmic 2",375,41793,"Cytoplasm, cytoskeleton",High,878620.1320557797
123,ACTG2,P63267,"Actin, gamma-enteric smooth muscle",376,41877,"Cytoplasm, cytoskeleton",High,
124,ACTL6A,O96019,Actin-like protein 6A,429,47461,Nucleus,High,83838.04782228873
125,ACTL6B,O94805,Actin-like protein 6B,426,46877,Nucleus,High,54027.541061536445
126,ACTMAP,Q5BKX5,UPF0692 protein C19orf54,351,37779,Cytoplasm,Medium,
127,ACTN1,P12814,Alpha-actinin-1,892,103058,"Cytoplasm, cytoskeleton; Cytoplasm, myofibril, sarcomere, Z line; Cell membrane; Cell junction; Cell projection, ruffle",Medium,22537.15464771199
128,ACTN2,P35609,Alpha-actinin-2,894,103854,"Cytoplasm, myofibril, sarcomere, Z line",Very Low,286.64871012131164
129,ACTN3,Q08043,Alpha-actinin-3 (Alpha-actinin skeletal muscle isoform 3) (F-actin cross-linking protein),901,103241,,Very Low,
130,ACTN4,O43707,Alpha-actinin-4,911,104854,"Nucleus; Cytoplasm; Cell junction; Cytoplasm, cytoskeleton, stress fiber; Cytoplasm, perinuclear region",High,200344.60151531833
131,ACTR10,Q9NZ32,Actin-related protein 10,417,46307,"Cytoplasm, cytoskeleton",High,57782.004260894006
132,ACTR1A,P61163,Alpha-centractin,376,42614,"Cytoplasm, cytoskeleton; Cytoplasm, cytoskeleton, microtubule organizing center, centrosome; Cytoplasm, cell cortex",High,399805.98132474965
133,ACTR1B,P42025,Beta-centractin,376,42293,"Cytoplasm, cytoskeleton; Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",High,240366.37554039346
134,ACTR2,P61160,Actin-related protein 2,394,44761,"Cytoplasm, cytoskeleton; Cell projection; Nucleus",High,197655.55250170483
135,ACTR3,P61158,Actin-related protein 3,418,47371,"Cytoplasm, cytoskeleton; Cell projection; Nucleus",High,265395.1997609602
136,ACTR3B,Q9P1U1,Actin-related protein 3B,418,47608,"Cytoplasm, cytoskeleton; Cell projection",High,
137,ACTR5,Q9H9F9,Actin-related protein 5,607,68297,Nucleus; Cytoplasm,Medium,
138,ACTR6,Q9GZN1,Actin-related protein 6,396,45810,"Cytoplasm, cytoskeleton; Nucleus; Nucleus, nucleolus",Low,2628.9912425393322
139,ACTR8,Q9H981,Actin-related protein 8,624,70484,Nucleus; Chromosome,High,
140,ACVR1,Q04771,Activin receptor type-1,509,57153,Membrane; Single-pass type I membrane protein,Low  ,
141,ACVR1B,P36896,Activin receptor type-1B,505,56807,Cell membrane,High,
142,ACVR2A,P27037,Activin receptor type-2A,513,57848,Membrane; Single-pass type I membrane protein,Very Low,960.7170732782255
143,ACVR2B,Q13705,Activin receptor type-2B,512,57724,Cell membrane,Low  ,
144,ACY1,Q03154,Aminoacylase-1,408,45885,Cytoplasm,Low,3834.387602934583
145,ACYP1,P07311,Acylphosphatase-1,99,11261,,High,134909.6231328428
146,ACYP2,P14621,Acylphosphatase-2,99,11140,,High,59408.49039499057
147,ADA,P00813,Adenosine deamise,363,40764,Cell membrane; Cytoplasmic vesicle lumen; Cytoplasm; Lysosome,Very Low,421.1073022839835
148,ADAL,Q6DHV7,Adenosine deamise-like protein,355,40264,,Medium,
149,ADAM10,O14672,Disintegrin and metalloproteise domain-containing protein 10,748,84142,"Cell membrane; Golgi apparatus membrane; Cytoplasmic vesicle, clathrin-coated vesicle; Cell projection, axon; Cell projection, dendrite; Cell junction, adherens junction; Cytoplasm",Medium,10879.414422190343
150,ADAM11,O75078,Disintegrin and metalloproteise domain-containing protein 11,769,83418,"Presynaptic cell membrane; Cell projection, axon",Low,2983.205624737506
151,ADAM15,Q13444,Disintegrin and metalloproteise domain-containing protein 15,863,92959,"Endomembrane system; Cell junction, adherens junction; Cell projection, cilium, flagellum; Cytoplasmic vesicle, secretory vesicle, acrosome",Low  ,
152,ADAM17,P78536,Disintegrin and metalloproteise domain-containing protein 17,824,93021,Membrane; Single-pass type I membrane protein,Medium,
153,ADAM19,Q9H013,Disintegrin and metalloproteise domain-containing protein 19,955,104997,Membrane; Single-pass type I membrane protein,Low  ,
154,ADAM22,Q9P0K1,Disintegrin and metalloproteise domain-containing protein 22,906,100433,"Cell membrane; Cell projection, axon",Very Low,182.2266417201655
155,ADAM23,O75077,Disintegrin and metalloproteise domain-containing protein 23,832,91926,Cell membrane.;[Isoform Gamma]: Secreted,High,
156,ADAM5,Q6NVV9,"Putative disintegrin and metalloproteinase domain-containing protein 5 (Putative transmembrane metalloproteinase-like, disintegrin-like, and cysteine-rich protein II) (tMDC II)",412,47181,,Low,6674.3561730438505
157,ADAM9,Q13443,Disintegrin and metalloproteise domain-containing protein 9,819,90556,[Isoform 1]: Cell membrane.;[Isoform 2]: Secreted,Low  ,
158,ADAMTS1,Q9UHI8,A disintegrin and metalloproteise with thrombospondin motifs 1,967,105358,"Secreted, extracellular space, extracellular matrix",Low  ,
159,ADAMTS10,Q9H324,A disintegrin and metalloproteise with thrombospondin motifs 10,1103,120874,"Secreted, extracellular space, extracellular matrix",Low  ,
160,ADAMTS12,P58397,A disintegrin and metalloproteise with thrombospondin motifs 12,1594,177676,"Secreted, extracellular space, extracellular matrix",Very Low,
161,ADAMTS15,Q8TE58,A disintegrin and metalloproteise with thrombospondin motifs 15,950,103287,"Secreted, extracellular space, extracellular matrix; Cell surface",Low  ,
162,ADAMTS4,O75173,A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4) (EC 3.4.24.82) (ADMP-1) (Aggrecanase-1),837,90197,"Secreted, extracellular space, extracellular matrix",Low  ,
163,ADAMTS5,Q9UNA0,A disintegrin and metalloproteise with thrombospondin motifs 5,930,101718,"Secreted, extracellular space, extracellular matrix",Low  ,
164,ADAMTS7,Q9UKP4,A disintegrin and metalloproteise with thrombospondin motifs 7,1686,184095,"Secreted, extracellular space, extracellular matrix",Medium,
165,ADAMTSL1,Q8N6G6,ADAMTS-like protein 1,1762,193409,"Secreted, extracellular space, extracellular matrix",Medium,
166,ADAMTSL3,P82987,ADAMTS-like protein 3 (ADAMTSL-3) (Punctin-2),1691,188692,"Secreted, extracellular space, extracellular matrix",Very Low,
167,ADAP1,O75689,Arf-GAP with dual PH domain-containing protein 1,374,43395,Nucleus; Cytoplasm,Medium,6940.658127879625
168,ADAR,P55265,Double-stranded R-specific adenosine deamise,1226,136066,"[Isoform 1]: Cytoplasm; Nucleus.;[Isoform 5]: Cytoplasm; Nucleus; Nucleus, nucleolus",Medium,44781.28340664622
169,ADARB1,P78563,Double-stranded R-specific editase 1,741,80763,"Nucleus; Nucleus, nucleolus.;[Isoform 1]: Nucleus; Nucleus, nucleolus.;[Isoform 2]: Nucleus; Nucleus, nucleolus",Low,3280.913010714577
170,ADAT1,Q9BUB4,tR-specific adenosine deamise 1,502,55392,,High,
171,ADAT2,Q7Z6V5,tR-specific adenosine deamise 2,191,21046,,Medium,
172,ADAT3,Q96EY9,Probable ictive tR-specific adenosine deamise-like protein 3,351,38071,,Low  ,
173,ADCK1,Q86TW2,AarF domain-containing protein kise 1,530,60577,Secreted,Medium,
174,ADCK5,Q3MIX3,Uncharacterized aarF domain-containing protein kise 5,580,65828,Membrane,Medium,
175,ADCY1,Q08828,Adenylate cyclase type 1,1119,123440,Membrane; Cell membrane; Cytoplasm; Membrane raft,Very Low,
176,ADCY2,Q08462,Adenylate cyclase type 2,1091,123603,Membrane; Cell membrane; Cytoplasm,Low  ,
177,ADCY3,O60266,Adenylate cyclase type 3,1144,128960,"Cell membrane; Cytoplasm; Cell projection, cilium; Golgi apparatus",Low  ,
178,ADCY5,O95622,Adenylate cyclase type 5,1261,138908,Cell membrane,Low  ,
179,ADCY6,O43306,Adenylate cyclase type 6,1168,130615,"Cell membrane; Cell projection, cilium; Cell projection, stereocilium",High,
180,ADCY7,P51828,Adenylate cyclase type 7,1080,120308,Membrane; Multi-pass membrane protein,Very Low,
181,ADCY8,P40145,Adenylate cyclase type 8,1251,140122,"Cell membrane; Basolateral cell membrane; Apical cell membrane; Synapse; Cell projection, dendrite; Cell projection, axon; Presynaptic cell membrane; Postsynaptic density; Membrane raft; Membrane, coated pit; Cytoplasmic vesicle, clathrin-coated vesicle membrane; Membrane, caveola",Low  ,4896.592629388189
182,ADCY9,O60503,Adenylate cyclase type 9,1353,150701,Cell membrane,Very Low,685.6445599177218
183,ADCYAP1,P18509,Pituitary adenylate cyclase-activating polypeptide,176,18835,Secreted,Medium,
184,ADCYAP1R1,P41586,Pituitary adenylate cyclase-activating polypeptide type I receptor (PACAP type I receptor) (PACAP-R-1) (PACAP-R1),468,53314,Cell membrane; Multi-pass membrane protein,Medium,
185,ADD1,P35611,Alpha-adducin,737,80955,"Cytoplasm, cytoskeleton; Cell membrane; Peripheral membrane protein; Cytoplasmic side",High,154763.82553453767
186,ADD2,P35612,Beta-adducin,726,80854,"Cytoplasm, cytoskeleton; Cell membrane; Peripheral membrane protein; Cytoplasmic side",High,137209.13488530688
187,ADD3,Q9UEY8,Gamma-adducin,706,79155,"Cytoplasm, cytoskeleton; Cell membrane",Medium,11187.714200715753
188,ADGRA1,Q86SQ6,Adhesion G protein-coupled receptor A1,560,60885,Membrane,Low  ,
189,ADGRA3,Q8IWK6,Adhesion G protein-coupled receptor A3,1321,146151,Membrane,High,
190,ADGRB1,O14514,Adhesion G protein-coupled receptor B1,1584,173501,"Cell membrane; Cell projection, phagocytic cup; Cell junction, focal adhesion; Cell projection, dendritic spine; Postsynaptic density.;[Vasculostatin-120]: Secreted.;[Vasculostatin-40]: Secreted",Low  ,
191,ADGRB3,O60242,Adhesion G protein-coupled receptor B3,1522,171518,Cell membrane,High,
192,ADGRG1,Q9Y653,Adhesion G-protein coupled receptor G1,693,77738,Cell membrane.;[ADGRG1 N-terminal fragment]: Secreted.;[ADGRG1 C-terminal fragment]: Membrane raft,Medium,9615.4472328743
193,ADGRG2,Q8IZP9,Adhesion G-protein coupled receptor G2,1017,111593,Apical cell membrane,Low  ,660.5957629010065
194,ADGRL1,O94910,Adhesion G protein-coupled receptor L1,1474,162717,"Cell membrane; Cell projection, growth cone; Synapse; Presynaptic cell membrane; Synapse, synaptosome",Low  ,1178.6006475071522
195,ADGRL2,O95490,Adhesion G protein-coupled receptor L2,1459,163349,Membrane,Low  ,4459.567398806625
196,ADGRL3,Q9HAR2,Adhesion G protein-coupled receptor L3,1447,161812,"Cell membrane; Cell projection, axon; Cell junction",Low,6494.3561999519225
