,GeneID,UniProtID,Protein Description,Protein Length (#AA),Protein Mass (Da),Subcellular Location ,Abundance Level,Average Protein Copy Number
25,ABCB7,O75027,"Iron-sulfur clusters transporter ABCB7, mitochondrial",752,82641,SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P40416}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P40416}.,Low,4263.376960518479
26,ABCB8,Q9NUT2,Mitochondrial potassium channel ATP-binding subunit,735,79989,"SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:16259955, ECO:0000269|PubMed:31435016}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}.",Low  ,1212.786041727275
27,ABCB9,Q9NP78,ABC-type oligopeptide transporter ABCB9,766,84475,"SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000269|PubMed:10748049, ECO:0000269|PubMed:15577206, ECO:0000269|PubMed:17897319, ECO:0000269|PubMed:17977821, ECO:0000269|PubMed:18175933, ECO:0000269|PubMed:18952056, ECO:0000269|PubMed:20377823, ECO:0000269|PubMed:21212514, ECO:0000269|PubMed:22641697, ECO:0000269|PubMed:30877195}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441, ECO:0000269|PubMed:10748049, ECO:0000269|PubMed:15577206, ECO:0000269|PubMed:17897319, ECO:0000269|PubMed:17977821, ECO:0000269|PubMed:18175933, ECO:0000269|PubMed:18952056, ECO:0000269|PubMed:20377823, ECO:0000269|PubMed:21212514}. Note=May be located in membrane rafts. Takes an intracellular route from the endoplasmic reticulum (ER), via Golgi and early endosomes to late endosomal and lysosomal compartments (PubMed:30877195). {ECO:0000269|PubMed:30877195}.",Low  ,
28,ABCC1,P33527,Multidrug resistance-associated protein 1,1531,171591,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16230346, ECO:0000269|PubMed:31273342}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441, ECO:0000269|PubMed:16230346}.",Low,1712.977056548215
29,ABCC10,Q5T3U5,ATP-binding cassette sub-family C member 10,1492,161629,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12566991, ECO:0000269|PubMed:15256465}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441, ECO:0000269|PubMed:12566991, ECO:0000269|PubMed:15256465}. Basolateral cell membrane {ECO:0000269|PubMed:23087055}; Multi-pass membrane protein {ECO:0000255}. Basal cell membrane {ECO:0000269|PubMed:35307651}; Multi-pass membrane protein {ECO:0000255}. Note=Localized to the basal membrane of Sertoli cells. {ECO:0000269|PubMed:35307651}.",Low  ,
30,ABCC4,O15439,ATP-binding cassette sub-family C member 4,1325,149527,"SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000269|PubMed:11106685, ECO:0000269|PubMed:12883481, ECO:0000269|PubMed:26721430}; Multi-pass membrane protein {ECO:0000255}. Apical cell membrane {ECO:0000269|PubMed:11856762, ECO:0000269|PubMed:26721430}; Multi-pass membrane protein {ECO:0000255}. Note=Its localization to the basolateral or apical membranes is tissue-dependent. {ECO:0000305|PubMed:26721430}.",Very Low,244.3205326247494
31,ABCC5,O15440,ATP-binding cassette sub-family C member 5,1437,160660,"SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000269|PubMed:24836561}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus lumen {ECO:0000269|PubMed:24836561}. Endosome membrane {ECO:0000269|PubMed:24836561}. Cytoplasmic granule {ECO:0000250|UniProtKB:Q9R1X5}. Apical cell membrane {ECO:0000269|PubMed:15501592}; Multi-pass membrane protein {ECO:0000255}. Note=In most cells, routes to the basolateral plasma membrane, but in the brain capillary endothelial cells that form the blood-brain barrier, resides in the apical membrane. {ECO:0000269|PubMed:15501592, ECO:0000269|PubMed:24836561}.",Medium,
32,ABCD1,P33897,ATP-binding cassette sub-family D member 1,745,82937,"SUBCELLULAR LOCATION: Peroxisome membrane {ECO:0000269|PubMed:10777694, ECO:0000269|PubMed:16946495, ECO:0000269|PubMed:17609205, ECO:0000269|PubMed:18757502, ECO:0000269|PubMed:29397936}; Multi-pass membrane protein {ECO:0000255}. Mitochondrion membrane {ECO:0000269|PubMed:16946495}; Multi-pass membrane protein. Lysosome membrane {ECO:0000269|PubMed:16946495}; Multi-pass membrane protein. Endoplasmic reticulum membrane {ECO:0000269|PubMed:16946495}; Multi-pass membrane protein.",Low,4603.552595257195
33,ABCD3,P28288,ATP-binding cassette sub-family D member 3,659,75476,"SUBCELLULAR LOCATION: Peroxisome membrane {ECO:0000269|PubMed:10704444, ECO:0000269|PubMed:16344115, ECO:0000269|PubMed:17761678, ECO:0000269|PubMed:24333844, ECO:0000269|PubMed:29397936}; Multi-pass membrane protein {ECO:0000255}.",Medium,9478.610163499627
34,ABCD4,O14678,Lysosomal cobalamin transporter ABCD4,606,68597,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:27456980}; Multi-pass membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:22922874, ECO:0000269|PubMed:25535791, ECO:0000269|PubMed:27456980, ECO:0000269|PubMed:28572511, ECO:0000269|PubMed:33845046}; Multi-pass membrane protein {ECO:0000255}. Note=Targeted by LMBRD1 lysosomal chaperone to the lysosomal membrane. {ECO:0000269|PubMed:27456980, ECO:0000269|PubMed:28572511}.",Medium,
35,ABCE1,P61221,ATP-binding cassette sub-family E member 1,599,67314,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11585831}. Mitochondrion {ECO:0000269|PubMed:11585831}.,High,72990.96082972917
36,ABCF1,Q8NE71,ATP-binding cassette sub-family F member 1,845,95926,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19570978}. Nucleus, nucleoplasm {ECO:0000269|PubMed:19570978}. Nucleus envelope {ECO:0000269|PubMed:19570978}.",Medium,42670.56027662201
37,ABCF2,Q9UG63,ATP-binding cassette sub-family F member 2,623,71290,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19570978}. Nucleus, nucleoplasm {ECO:0000269|PubMed:19570978}. Nucleus envelope {ECO:0000269|PubMed:19570978}.",Low,6085.017860705895
38,ABCF3,Q9NUQ8,ATP-binding cassette sub-family F member 3,709,79745,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19570978}. Nucleus, nucleoplasm {ECO:0000269|PubMed:19570978}. Nucleus envelope {ECO:0000269|PubMed:19570978}.",Medium,9435.25155502274
39,ABCG1,P45844,ATP-binding cassette sub-family G member 1,678,75592,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:22042635}; Multi-pass membrane protein {ECO:0000269|PubMed:22042635}. Golgi apparatus membrane {ECO:0000269|PubMed:22042635}; Multi-pass membrane protein {ECO:0000269|PubMed:22042635}. Cell membrane {ECO:0000269|PubMed:16702602, ECO:0000269|PubMed:24576892}. Note=Predominantly localized in the intracellular compartments mainly associated with the endoplasmic reticulum (ER) and Golgi membranes.",Low  ,
40,ABCG2,Q9UNQ0,Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein) (CDw338) (Mitoxantrone resistance-associated protein) (Placenta-specific ATP-binding cassette transporter) (Urate exporter) (CD antigen CD338),655,72314,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15001581, ECO:0000269|PubMed:15769853, ECO:0000269|PubMed:15807535, ECO:0000269|PubMed:18056989, ECO:0000269|PubMed:31003562, ECO:0000269|PubMed:31254042}; Multi-pass membrane protein {ECO:0000255}. Apical cell membrane {ECO:0000269|PubMed:19506252}; Multi-pass membrane protein {ECO:0000255}. Mitochondrion membrane {ECO:0000269|PubMed:23189181}; Multi-pass membrane protein {ECO:0000255}. Note=Enriched in membrane lipid rafts. {ECO:0000269|PubMed:28623970}.",Low  ,
41,ABHD10,Q9NUJ1,"Palmitoyl-protein thioesterase ABHD10, mitochondrial",306,33933,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:31740833}.,Medium,43158.5851204976
42,ABHD11,Q8NFV4,Protein ABHD11,315,34690,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:31740833}.,Low,3230.3636083518145
43,ABHD12,Q8N2K0,Lysophosphatidylserine lipase ABHD12,398,45097,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:30237167}; Single-pass membrane protein {ECO:0000255}.,Medium,22980.48357532158
44,ABHD13,Q7L211,Protein ABHD13,337,38548,SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.,Low,1083.3841680131284
45,ABHD14A,Q9BUJ0,Protein ABHD14A,271,29765,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.,Low  ,
46,ABHD14B,Q96IU4,Putative protein-lysine deacylase ABHD14B,210,22346,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11053859, ECO:0000269|PubMed:14672934, ECO:0000269|PubMed:31478652}. Nucleus {ECO:0000269|PubMed:11053859, ECO:0000269|PubMed:14672934, ECO:0000269|PubMed:31478652}. Note=Predominantly cytoplasmic. {ECO:0000269|PubMed:14672934}.",Medium,
47,ABHD16A,O95870,Phosphatidylserine lipase ABHD16A,558,63243,SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:Q9Z1Q2}; Multi-pass membrane protein {ECO:0000255}.,Medium,18225.42520860195
48,ABHD17A,Q96GS6,Alpha/beta hydrolase domain-containing protein 17A,310,33990,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26701913}; Lipid-anchor {ECO:0000269|PubMed:26701913}; Cytoplasmic side {ECO:0000269|PubMed:26701913}. Endosome membrane {ECO:0000269|PubMed:26701913}; Lipid-anchor {ECO:0000269|PubMed:26701913}; Cytoplasmic side {ECO:0000269|PubMed:26701913}. Cell projection, dendritic spine {ECO:0000250|UniProtKB:Q5XIJ5}. Postsynaptic density membrane {ECO:0000250|UniProtKB:Q5XIJ5}.",Medium,
49,ABHD17B,Q5VST6,Alpha/beta hydrolase domain-containing protein 17B,288,32215,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q7M759}; Lipid-anchor {ECO:0000250|UniProtKB:Q7M759}; Cytoplasmic side {ECO:0000250|UniProtKB:Q7M759}. Recycling endosome membrane {ECO:0000250|UniProtKB:Q7M759}; Lipid-anchor {ECO:0000250|UniProtKB:Q7M759}; Cytoplasmic side {ECO:0000250|UniProtKB:Q7M759}. Cell projection, dendritic spine {ECO:0000250|UniProtKB:Q7M759}. Postsynaptic density membrane {ECO:0000250|UniProtKB:Q7M759}.",Medium,
50,ABHD17C,Q6PCB6,Alpha/beta hydrolase domain-containing protein 17C,329,35831,"SUBCELLULAR LOCATION: Recycling endosome membrane {ECO:0000250|UniProtKB:B5DFK7}; Lipid-anchor {ECO:0000250|UniProtKB:B5DFK7}; Cytoplasmic side {ECO:0000250|UniProtKB:B5DFK7}. Cell projection, dendritic spine {ECO:0000250|UniProtKB:B5DFK7}. Postsynaptic density membrane {ECO:0000250|UniProtKB:B5DFK7}.",Medium,
51,ABHD2,P08910,Monoacylglycerol lipase ABHD2,425,48315,"SUBCELLULAR LOCATION: Cell projection, cilium, flagellum membrane {ECO:0000305|PubMed:26989199}; Single-pass type II membrane protein {ECO:0000305}. Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.",Low  ,
52,ABHD5,Q8WTS1,1-acylglycerol-3-phosphate O-acyltransferase ABHD5 (EC 2.3.1.51) (Abhydrolase domain-containing protein 5) (Lipid droplet-binding protein CGI-58),349,39096,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18832586}. Lipid droplet {ECO:0000250|UniProtKB:Q9DBL9}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9DBL9}. Note=Colocalized with PLIN and ADRP on the surface of lipid droplets. The localization is dependent upon the metabolic status of the adipocytes and the activity of PKA (By similarity). {ECO:0000250}.",Low  ,885.8465278499773
53,ABHD6,Q9BV23,Monoacylglycerol lipase ABHD6,337,38331,SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000250|UniProtKB:Q8R2Y0}; Single-pass type II membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000250|UniProtKB:Q8R2Y0}; Single-pass type II membrane protein {ECO:0000255}. Mitochondrion membrane {ECO:0000250|UniProtKB:Q8R2Y0}; Single-pass type II membrane protein {ECO:0000255}.,Low,3890.693576896113
54,ABI1,Q8IZP0,Abl interactor 1,508,55081,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Cell projection, lamellipodium {ECO:0000250}. Cell projection, filopodium {ECO:0000250}. Cell projection, growth cone {ECO:0000250}. Postsynaptic density {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Localized to protruding lamellipodia and filopodia tips. Also localized to neuronal growth cones and synaptosomes. May shuttle from the postsynaptic densities to the nucleus (By similarity). {ECO:0000250}.",Medium,10536.254567159638
55,ABI2,Q9NYB9,Abl interactor 2,513,55663,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11516653, ECO:0000269|PubMed:7590236, ECO:0000269|PubMed:8649853}. Nucleus {ECO:0000269|PubMed:7590236}.; SUBCELLULAR LOCATION: [Isoform 1]: Cell projection, lamellipodium {ECO:0000269|PubMed:11516653, ECO:0000269|PubMed:15572692}. Cell projection, filopodium {ECO:0000269|PubMed:11516653}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:15572692}. Cell junction, adherens junction {ECO:0000269|PubMed:15572692}. Note=Isoform 1 but not isoform 3 is localized to protruding lamellipodia and filopodia tips (PubMed:11516653, PubMed:15572692). Present at nascent adherens junctions, where it clusters adjacent to the tips of F-actin protrusions (PubMed:15572692). {ECO:0000269|PubMed:11516653, ECO:0000269|PubMed:15572692}.",Medium,33944.81018248235
56,ABL1,P00519,Tyrosine-protein kise ABL1,1130,122873,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Nucleus. Mitochondrion {ECO:0000250}. Note=Shuttles between the nucleus and cytoplasm depending on environmental signals. Sequestered into the cytoplasm through interaction with 14-3-3 proteins. Localizes to mitochondria in response to oxidative stress (By similarity). {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform IB]: Nucleus membrane; Lipid-anchor. Note=The myristoylated c-ABL protein is reported to be nuclear.",Very low,511.39462136420883
57,ABL2,P42684,Tyrosine-protein kise ABL2,1182,128343,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q4JIM5}.",Low,2149.5437354163
58,ABLIM1,O14639,Actin-binding LIM protein 1,778,87688,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Associated with the cytoskeleton. {ECO:0000250}.",Medium,20137.73730597535
59,ABLIM2,Q6H8Q1,Actin-binding LIM protein 2,611,67812,"SUBCELLULAR LOCATION: Cytoplasm. Note=In skeletal muscle, sarcomeric or cosarcomeric localization. {ECO:0000250}.",Low,4863.47700493431
60,ABLIM3,O94929,Actin-binding LIM protein 3,683,77802,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,Very low,
61,ABR,Q12979,Active breakpoint cluster region-related protein,859,97598,"SUBCELLULAR LOCATION: Cell projection, dendritic spine {ECO:0000250|UniProtKB:Q5SSL4}. Cell projection, axon {ECO:0000250|UniProtKB:Q5SSL4}. Synapse {ECO:0000250|UniProtKB:A0A0G2JTR4}.",Medium,9433.020375427284
62,ABRACL,Q9P1F3,Costars family protein ABRACL,81,9056,,Medium,37662.951133865085
63,ABRAXAS1,Q6UWZ7,BRCA1-A complex subunit Abraxas 1,409,46663,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17525340, ECO:0000269|PubMed:17643121, ECO:0000269|PubMed:17643122}. Note=Localizes at sites of DNA damage at double-strand breaks (DSBs). {ECO:0000305}.",Low  ,
64,ABRAXAS2,Q15018,BRISC complex subunit Abraxas 2,415,46901,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20656690, ECO:0000269|PubMed:21195082, ECO:0000269|PubMed:21282113, ECO:0000269|PubMed:22974638, ECO:0000269|PubMed:24075985, ECO:0000269|PubMed:25283148}. Nucleus {ECO:0000269|PubMed:21282113, ECO:0000269|PubMed:22974638, ECO:0000269|PubMed:24075985, ECO:0000269|PubMed:25283148}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:26195665}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:26195665}. Note=A minor proportion is detected in the nucleus (PubMed:21282113, PubMed:22974638). Translocates into the nucleus in response to DNA damage (PubMed:25283148). Directly binds to microtubules and is detected at the minus end of K-fibers (PubMed:26195665). Co-localizes with NUMA1 at mitotic spindle poles (PubMed:26195665). {ECO:0000269|PubMed:21282113, ECO:0000269|PubMed:22974638, ECO:0000269|PubMed:25283148, ECO:0000269|PubMed:26195665}.",Medium,16874.304440904092
